MJD,BJD,FLUX2,CADENCENO,POS_CORR1,FLUX1,STARPOS,FLUX4,FLUX5,FLUX3,SAP_FLUX_ERR,BACKGROUND,TIME,SAP_QUALITY,POS_CORR2,SAP_FLUX
57620.64435172,57620.639976362385,1977.8868288935917,131118,0.11983691900968552,1755.9146230551894,1097.1987062986386,2186.409970264985,2204.4047803244584,2141.586584584801,2204.4047803244584,23.631147384643555,57620.639976362385,1048576,-0.005680655129253864,2204.4047803244584
57620.66478542,57620.66040876233,1998.7804151690543,131119,0.13998112082481384,1781.329661784535,1097.1613873963531,2192.9286904711894,2209.6692829069807,2152.1121347474273,2209.6692829069807,23.636516571044922,57620.66040876233,0,0.001649538055062294,2209.6692829069807
57620.68521902,57620.68084106279,1994.5839565875153,131120,0.06683459132909775,1764.8599310596078,1097.2283658434492,2193.9691609393894,2210.966574293449,2152.2757081732007,2210.966574293449,23.64189910888672,57620.68084106279,0,0.002484905766323209,2210.966574293449
57620.70565262,57620.701273363775,1996.7900236837547,131121,0.017349012196063995,1761.615578391849,1097.2833135394262,2196.6885951906006,2213.8636390134375,2155.3942098068883,2213.8636390134375,23.647293090820312,57620.701273363775,0,0.0021989159286022186,2213.8636390134375
57620.72608622,57620.721705665266,1995.2141686482237,131122,-0.040186673402786255,1758.796218187477,1097.3468462942383,2194.0593045924184,2210.8365843922816,2153.017916169175,2210.8365843922816,23.65270233154297,57620.721705665266,0,-0.0019695719238370657,2210.8365843922816
57620.74651982,57620.74213796728,1998.1925886140648,131123,-0.11567163467407227,1763.9698434167935,1097.4161776825722,2195.465075114958,2212.747384213697,2154.41333466751,2212.747384213697,23.658124923706055,57620.74213796728,0,-0.006162433419376612,2212.747384213697
57620.76695342,57620.76257026981,2001.475067711271,131124,-0.16638080775737762,1772.5838372640726,1097.4663303653033,2194.3327791468305,2210.5540292798014,2154.699136516987,2210.5540292798014,23.66356086730957,57620.76257026981,0,-0.007952478714287281,2210.5540292798014
57620.78738702,57620.783002572854,1993.498258596138,131125,-0.2275562435388565,1771.5991874021643,1097.5131980514705,2183.145029213135,2199.247330053103,2144.1352614521784,2199.247330053103,23.669010162353516,57620.783002572854,0,-0.01370750367641449,2199.247330053103
57620.80782062,57620.80343487642,1983.024467408124,131126,-0.3144538700580597,1767.569894692091,1097.5780272182199,2173.8819772443712,2189.9409136683735,2134.56247434481,2189.9409136683735,23.67447280883789,57620.80343487642,0,-0.017351921647787094,2189.9409136683735
57620.828254320004,57620.823867280495,1977.2303355554827,131127,-0.3650035560131073,1764.8019256857028,1097.616399281207,2170.34966589126,2186.590898299947,2130.504925906315,2186.590898299947,23.679948806762695,57620.823867280495,0,-0.02269093133509159,2186.590898299947
