MJD,BJD,FLUX2,CADENCENO,POS_CORR1,FLUX1,STARPOS,FLUX4,FLUX5,FLUX3,SAP_FLUX_ERR,BACKGROUND,TIME,SAP_QUALITY,POS_CORR2,SAP_FLUX,CAD
57292.542088019996,57292.53662904501,153.16448583539682,115061,0.3112943768501282,81.90908722784644,854.8666186953049,255.13097276700705,319.0814225544158,204.42600225480072,319.0814225544158,92.38713571299677,57292.53662904501,0,0.0656089037656784,319.0814225544158,115061
57292.56252152,57292.557061886306,150.57934831560556,115062,0.34148964285850525,80.48242691200335,854.8681002659972,252.1432345976475,316.53820965662896,201.51114414223804,316.53820965662896,92.42214899477752,57292.557061886306,0,0.0645623654127121,316.53820965662896,115062
57292.58295522,57292.57749492826,148.90615510196136,115063,0.3661486506462097,79.83550006724886,854.8649450408506,251.110942704261,315.52946865641604,200.01083394056076,315.52946865641604,92.45706740669583,57292.57749492826,0,0.06472114473581314,315.52946865641604,115063
57292.60338882,57292.59792787088,147.79589746480332,115064,0.4012981653213501,79.83423695847785,854.868342137516,251.0098894588657,316.14814015682975,199.12645803046615,316.14814015682975,92.49242965034817,57292.59792787088,0,0.06430322676897049,316.14814015682975,115064
57292.62382232,57292.61836071416,145.57477399796636,115065,0.4212014079093933,78.01527463981603,854.8704423757606,249.50134064258043,315.6304088603107,197.17670938258522,315.6304088603107,92.52694138236667,57292.61836071416,0,0.06340683251619339,315.6304088603107,115065
57292.64425602,57292.6387937581,145.8981508460306,115066,0.4584118723869324,79.34473493139905,854.8726731624597,251.4050281194542,317.96608239966315,198.080092658252,317.96608239966315,92.56290701161261,57292.6387937581,0,0.06385567039251328,317.96608239966315,115066
57292.664689619996,57292.6592267027,157.84331969993593,115067,0.24612902104854584,83.90835367275429,854.8584160462984,259.3205875480601,323.3762611767505,209.37696068172653,323.3762611767505,92.59897348155145,57292.6592267027,1048576,0.06146425008773804,323.3762611767505,115067
57292.68512322,57292.679659647976,158.6656297025176,115068,0.24231021106243134,84.6779645142181,854.858705804454,260.0518338453088,323.42153158371605,210.12605313511995,323.42153158371605,92.63502203899881,57292.679659647976,0,0.06327210366725922,323.42153158371605,115068
57292.70555682,57292.700092593914,158.06707896854732,115069,0.26506519317626953,84.64552868365672,854.8586247318459,259.76745821122154,322.81160938907124,209.53773276590738,322.81160938907124,92.6738397349482,57292.700092593914,0,0.06523104012012482,322.81160938907124,115069
57292.725990420004,57292.72052554051,155.15034923271958,115070,0.2911316156387329,82.6987794245457,854.862551523634,257.64635989706187,322.19295412377903,206.88798632542597,322.19295412377903,92.71404531727667,57292.72052554051,0,0.06571569293737411,322.19295412377903,115070
