MJD-57216.958185,Flux
9.787696,4174.934535
9.808130,4177.343201
9.828563,4172.805578
9.848997,4174.734752
9.869431,4169.905137
9.889864,4173.317710
9.910298,4170.295676
9.930731,4171.679465
9.951165,4167.803021
9.971599,4168.941937
9.992032,4171.643598
10.012466,4168.130867
10.032899,4175.480570
10.053333,4174.304477
10.073767,4173.101041
10.094200,4172.944540
10.114634,4172.364211
10.135067,4172.159859
10.155501,4172.721131
10.175935,4172.812677
10.196368,4171.847583
10.216802,4167.600262
10.237235,4168.001445
10.257669,4168.033488
10.278103,4167.871827
10.298536,4167.272667
10.318970,4166.245139
10.339404,4164.499494
10.359837,4160.773380
10.380271,4161.055078
10.400704,4159.277551
10.421138,4157.767604
10.441572,4156.499849
10.462005,4155.671624
10.482439,4154.044057
10.502872,nan
10.523306,4153.202643
10.543739,4151.116003
10.564173,nan
10.584607,4152.989653
10.605040,nan
10.625474,4189.616647
10.645907,4150.738964
10.666341,4151.860303
10.686775,4153.855802
10.707208,nan
10.727642,4156.797349
10.748076,4149.152500
10.768509,4152.261558
10.788943,4149.275056
10.809376,4148.812336
10.829810,4150.702155
10.850244,4149.770685
10.870677,4149.441898
10.891111,4149.506418
10.911544,4149.639293
10.931978,4150.949095
10.952412,4152.988877
10.972845,4151.164890
10.993279,4154.170845
11.013712,4157.767046
11.034146,4156.558543
11.054580,4158.028241
11.075013,4159.676641
11.095447,4157.989277
11.115880,4159.069490
11.136314,4158.090622
11.156748,4159.361989
11.177181,4161.963922
11.197615,4155.257262
11.218048,4154.869200
11.238482,4154.318052
11.258916,4154.761057
11.279349,4154.167930
11.299783,4151.902466
11.320216,4153.423135
11.340650,4152.943696
11.361084,4156.550587
11.381517,4159.454924
11.401951,4156.135949
11.422384,4157.792508
11.442818,4159.485687
11.463252,4158.158494
11.483685,nan
11.504119,4156.613408
11.524552,4158.040572
11.544986,4159.296875
11.565420,4158.929019
11.585853,4153.992316
11.606287,4155.922800
11.626720,4159.982849
11.647154,4155.518652
11.667588,4160.515309
11.688021,4157.781258
11.708455,nan
11.728889,4166.041020
11.749322,4166.356197
11.769756,4167.233736
11.790189,4165.986481
11.810623,4162.300571
11.831056,4164.407016
11.851490,4162.918869
11.871924,4163.260310
11.892357,4158.794242
11.912791,4163.756886
11.933224,4163.051560
11.953658,4160.105686
11.974092,4163.525749
11.994525,4163.522961
12.014959,4161.915681
12.035393,4162.847464
12.055826,4164.193797
12.076260,4166.722747
12.096693,4164.616078
12.117127,4165.474084
12.137561,4165.687642
12.157994,nan
12.178428,nan
12.198861,4166.647556
12.219295,4166.655499
nan,nan
nan,nan
nan,nan
12.301029,4166.563383
12.321463,4164.507069
12.341897,4169.345945
12.362330,4168.652537
12.382764,4169.506005
12.403197,4173.645729
12.423631,4170.223581
12.444065,4177.025537
12.464498,4173.869839
12.484932,4182.144307
12.505365,4173.378736
12.525799,4175.732794
12.546233,4174.996520
12.566666,4178.067200
12.587100,4177.014833
12.607533,4175.734439
12.627967,4175.232365
12.648401,4177.361274
12.668834,4175.757283
12.689268,4179.029891
12.709701,4176.754450
12.730135,4175.467952
12.750569,4175.603694
12.771002,nan
12.791436,4172.504540
12.811870,nan
12.832303,nan
12.852737,nan
12.873170,4173.863279
12.893604,4173.627766
12.914037,4172.638401
12.934471,4175.973390
12.954905,nan
12.975338,4173.266435
12.995772,4177.860965
13.016206,4176.962330
13.036639,4174.657446
13.057073,4176.366233
13.077506,4177.309396
13.097940,4174.430781
13.118374,4172.920707
13.138807,4171.033362
13.159241,nan
13.179674,4178.866945
13.200108,4180.447741
13.220542,4180.126806
13.240975,4184.876091
13.261409,4184.143660
13.281842,4189.784276
13.302276,4188.320160
13.322710,4188.716328
13.343143,4187.894121
13.363577,4187.803867
13.384010,4184.016207
13.404444,4186.772669
13.424878,4181.287532
13.445311,4182.302275
