EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,SDSS,Object type,Kepflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,logg,[Fe/H],Radius,mass,rho,Distance,E(B-V),Ang Sep (')
211287636,08 38 05.172,+09 34 28.60,0,6.656,42353,801-886-1,498-052766,08380517+0934287,,STAR,BV,-36.530,0.500,-9.940,0.350,8.930,0.450,6.515,0.014,6.531,0.010,,,,,,,,,,,6.503,0.018,6.517,0.023,6.525,0.018,,,,,,,,,436.881
212191804,08 36 02.471,+24 03 04.14,0,7.069,42184,1942-375-1,571-044940,08360246+2403042,,STAR,BV,-0.800,0.630,0.620,0.330,3.740,0.460,7.056,0.015,6.979,0.010,,,,,,,,,,,6.710,0.019,6.707,0.024,6.656,0.021,,,,,,,,,438.059
212001589,08 13 22.928,+20 16 49.79,0,7.674,40270,1385-548-1,552-042909,08132292+2016499,,STAR,BV,-1.470,1.120,-69.060,0.900,2.620,0.900,8.954,0.022,7.868,0.013,,,,,,,,,,,5.737,0.024,5.101,0.018,5.005,0.024,,,,,,,,,439.242
211778841,08 10 00.906,+17 00 59.37,0,7.113,39990,1381-916-1,536-046401,,,STAR,BV,-5.860,0.650,-8.850,0.520,2.050,0.640,8.823,0.022,7.398,0.012,,,,,,,,,,,,,,,,,,,,,,,,,439.461
211298574,08 31 54.494,+09 48 50.75,0,6.896,41843,800-1350-1,500-051420,08315449+0948507,,STAR,BV,-8.070,0.430,-14.870,0.330,4.490,0.400,6.721,0.015,6.762,0.011,,,,,,,,,,,6.794,0.026,6.845,0.033,6.834,0.033,,,,,,,,,439.736
211351670,08 58 15.999,+10 50 42.69,0,7.429,44050,814-2184-1,505-049753,,,STAR,BV,-18.400,1.190,-30.590,0.840,4.120,0.950,8.873,0.021,7.658,0.012,,,,,,,,,,,,,,,,,,,,,,,,,441.400
211606678,08 10 58.884,+14 37 46.12,0,6.322,40058,806-1669-1,524-046317,08105888+1437462,,STAR,BV,-23.040,0.430,-15.880,0.320,5.130,0.420,6.217,0.014,6.207,0.010,,,,,,,,,,,6.096,0.024,6.114,0.015,6.115,0.015,,,,,,,,,447.923
212192969,08 33 00.104,+24 05 05.25,0,6.160,41940,1941-2000-1,571-044816,,,STAR,BV,-63.800,0.580,-46.400,0.390,5.870,0.590,7.373,0.015,6.340,0.010,,,,,,,,,,,,,,,,,,,,,,,,,448.295
211277515,08 43 41.418,+09 20 23.41,0,7.619,42837,810-915-1,497-051543,08434141+0920233,,STAR,gri,-16.450,0.640,-21.020,0.410,5.870,0.550,8.241,0.017,7.224,0.011,,,8.839,0.070,7.762,0.040,7.096,0.420,,,5.437,0.024,5.008,0.057,4.852,0.017,,,,,,,,,451.601
212192848,08 31 30.519,+24 04 51.99,0,5.695,41816,1941-2827-1,571-044746,,,STAR,BV,-81.360,0.340,-44.570,0.260,13.050,0.290,6.003,0.014,5.693,0.009,,,,,,,,,,,,,,,,,,,,,,,,,453.550
211851893,09 11 56.910,+18 02 38.81,0,6.953,45153,1404-1801-1,541-048009,09115691+1802388,,STAR,BV,-36.200,0.580,-22.360,0.220,8.310,0.500,6.917,0.015,6.857,0.010,,,,,,,,,,,6.717,0.032,6.735,0.023,6.702,0.026,,,,,,,,,454.025
211274465,08 47 19.910,+09 15 53.09,0,7.698,,810-2144-1,497-051726,08471992+0915531,,STAR,BV,2.100,1.700,-18.000,1.700,,,9.436,0.022,7.989,0.011,,,,,,,,,,,5.575,0.029,4.903,0.027,4.710,0.018,,,,,,,,,464.318
211632772,09 12 17.549,+14 59 45.74,0,6.318,45170,825-1543-1,525-050209,09121762+1459454,,STAR,BV,-524.400,0.600,245.640,0.290,49.110,0.540,7.227,0.015,6.481,0.010,,,,,,,,,,,5.121,0.021,,,4.664,0.017,,,,,,,,,469.742
212195072,08 28 36.786,+24 08 41.72,0,6.061,41574,1941-2826-1,571-044628,08283678+2408415,,STAR,BV,-29.070,0.840,-52.840,0.740,7.320,0.920,6.276,0.014,6.034,0.010,,,,,,,,,,,5.513,0.023,5.447,0.027,,,,,,,,,,,470.221
211271742,08 31 07.527,+09 11 54.23,0,7.949,41776,796-493-1,496-051758,08310751+0911543,,STAR,BV,-128.250,0.880,11.330,0.550,14.790,0.670,8.445,0.017,7.999,0.013,,,,,,,,,,,7.090,0.020,6.871,0.042,6.797,0.031,,,,,,,,,478.447
211932686,08 08 08.658,+19 12 57.39,0,7.532,39816,1385-1065-1,547-043962,08080865+1912573,,STAR,BV,-35.090,0.720,-93.470,0.520,12.580,0.690,8.231,0.018,7.638,0.013,,,,,,,,,,,6.543,0.024,6.283,0.042,6.214,0.024,,,,,,,,,484.923
211363125,08 16 32.838,+11 02 36.99,0,7.127,40530,798-236-1,506-046510,08163283+1102368,,STAR,BV,-2.370,0.660,-30.670,0.490,3.130,0.530,8.670,0.017,7.376,0.011,,,,,,,,,,,5.104,0.027,4.494,0.016,4.345,0.018,,,,,,,,,493.276
211586042,08 08 03.749,+14 21 01.76,0,7.532,39809,793-456-1,522-044696,08080375+1421018,,STAR,BV,-6.030,0.860,-36.080,0.740,4.560,0.650,8.885,0.023,7.742,0.014,,,,,,,,,,,5.848,0.018,5.332,0.024,5.207,0.021,,,,,,,,,493.429
