EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,SDSS,Object type,Kepflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,logg,[Fe/H],Radius,mass,rho,Distance,E(B-V),Ang Sep (')
206334788,22 05 32.397,-07 41 42.84,0,7.945,109053,5802-280-1,412-133300,22053239-0741428,,STAR,BV,63.010,1.000,9.470,0.520,12.150,0.870,8.458,0.018,8.000,0.013,,,,,,,,,,,7.121,0.026,6.939,0.046,6.894,0.026,,,,,,,,,373.254
206193194,22 01 50.418,-09 52 29.07,0,7.995,108757,5802-1391-1,401-129978,22015040-0952291,,STAR,BV,11.740,1.130,6.740,0.680,2.800,0.980,8.907,0.018,8.159,0.013,,,,,,,,,,,6.720,0.021,6.352,0.040,6.217,0.024,,,,,,,,,373.354
206502122,22 24 06.884,-04 50 13.27,0,5.907,110578,5229-1622-1,426-132083,22240689-0450132,,STAR,BV,26.900,1.020,-7.350,0.490,8.040,0.630,5.752,0.014,5.779,0.010,,,,,,,,,,,5.825,0.021,5.816,0.021,5.832,0.023,,,,,,,,,377.477
206230439,22 02 07.509,-09 16 56.20,0,7.994,108780,5802-1115-1,404-131244,22020750-0916561,,STAR,BV,1.100,1.050,-12.410,0.580,3.680,0.890,9.483,0.025,8.232,0.014,,,,,,,,,,,6.085,0.020,5.477,0.051,5.324,0.023,,,,,,,,,378.222
206503138,22 30 27.864,-04 48 59.65,0,7.880,111102,5236-1175-1,426-132271,22302785-0448596,,STAR,BV,96.870,1.080,50.880,0.790,7.440,1.040,8.902,0.018,8.074,0.012,,,,,,,,,,,6.539,0.021,6.074,0.044,6.010,0.023,,,,,,,,,381.013
206013159,22 04 27.884,-14 26 48.93,0,7.054,108958,5808-718-1,378-172949,,,STAR,BV,-15.030,0.790,11.110,0.400,4.820,0.630,8.873,0.022,7.361,0.011,,,,,,,,,,,,,,,,,,,,,,,,,381.846
205974636,22 45 28.000,-15 35 00.23,0,6.713,112356,6387-962-1,373-187163,,,STAR,BV,18.850,0.640,-37.020,0.440,6.120,0.630,8.537,0.018,7.021,0.011,,,,,,,,,,,,,,,,,,,,,,,,,384.391
206499766,22 33 54.377,-04 53 06.42,0,7.769,111381,5236-382-1,426-132369,22335437-0453063,,STAR,BV,12.750,0.900,3.090,0.670,4.840,0.890,8.925,0.019,7.937,0.012,,,,,,,,,,,6.279,0.023,5.835,0.021,5.694,0.018,,,,,,,,,387.904
206026553,22 50 24.160,-14 03 33.65,0,7.776,112782,5819-851-1,380-167530,22502415-1403335,,STAR,BV,12.550,1.000,-18.660,0.700,7.910,0.830,8.062,0.016,7.768,0.012,,,,,,,,,,,7.224,0.023,7.141,0.061,7.085,0.026,,,,,,,,,390.345
205915419,22 24 33.654,-17 35 35.23,0,7.479,110615,6388-1047-1,363-199709,,,STAR,gri,-9.710,0.890,-11.150,0.550,1.660,0.770,9.361,0.030,7.775,0.013,,,8.854,0.040,8.090,0.040,6.890,0.040,,,,,,,,,,,,,,,,,390.979
206415146,22 08 15.158,-06 22 57.23,0,7.383,,5230-1352-1,419-145869,,,STAR,BV,17.300,1.100,10.300,1.100,,,9.284,0.027,7.707,0.013,,,,,,,,,,,,,,,,,,,,,,,,,392.994
206118493,22 53 28.704,-11 36 59.45,0,5.926,113031,5816-131-1,392-129365,22532869-1136595,,STAR,BV,20.810,0.440,1.690,0.330,3.950,0.400,5.709,0.014,5.781,0.009,,,,,,,,,,,5.899,0.018,5.963,0.021,5.925,0.020,,,,,,,,,395.600
205938043,22 40 39.061,-16 46 15.34,0,7.380,111953,6386-1102-1,367-181959,22403905-1646152,,STAR,BV,41.850,0.580,-3.740,0.350,1.960,0.480,8.695,0.018,7.582,0.011,,,,,,,,,,,5.757,0.020,5.304,0.042,5.106,0.026,,,,,,,,,396.674
206393994,22 47 22.330,-06 43 49.14,0,7.824,112507,5240-476-1,417-148164,22472233-0643490,,STAR,BV,51.700,1.340,4.400,0.610,8.050,0.810,8.245,0.016,7.853,0.012,,,,,,,,,,,7.026,0.021,6.856,0.033,6.793,0.026,,,,,,,,,403.457
206096481,22 54 07.122,-12 11 25.52,0,6.579,113085,5816-777-1,390-138274,,,STAR,BV,49.820,0.560,-47.040,0.430,3.010,0.500,8.264,0.017,6.858,0.010,,,,,,,,,,,,,,,,,,,,,,,,,408.671
205995567,22 03 23.026,-14 57 06.32,0,7.699,108882,5808-1150-1,376-177293,22032301-1457063,,STAR,BV,-3.510,1.030,-7.370,0.490,2.590,0.870,9.107,0.022,7.920,0.013,,,,,,,,,,,5.875,0.019,5.262,0.017,5.064,0.021,,,,,,,,,411.303
205914703,22 35 40.739,-17 37 12.11,0,7.269,111522,6389-182-1,362-201396,,,STAR,BV,29.550,0.720,19.610,0.490,1.930,0.790,8.996,0.020,7.557,0.011,,,,,,,,,,,,,,,,,,,,,,,,,412.728
206037956,22 00 38.200,-13 44 45.09,0,7.553,108647,5808-1522-1,382-161267,22003820-1344451,,STAR,BV,9.190,0.870,3.750,0.550,6.640,0.770,7.850,0.016,7.548,0.012,,,,,,,,,,,6.882,0.017,6.754,0.042,6.721,0.031,,,,,,,,,412.998
206022875,22 00 38.899,-14 09 51.57,0,7.657,108649,5808-351-1,380-165990,22003890-1409515,,STAR,BV,134.710,0.680,-10.650,0.400,15.630,0.610,8.218,0.017,7.724,0.012,,,,,,,,,,,6.759,0.020,6.537,0.026,6.487,0.026,,,,,,,,,422.852
206358258,22 50 46.302,-07 18 42.93,0,6.780,112813,5241-880-1,414-142863,,,STAR,BV,-25.710,1.230,-14.010,0.540,4.480,0.650,8.189,0.017,7.001,0.010,,,,,,,,,,,,,,,,,,,,,,,,,423.039
206448629,22 07 41.630,-05 49 43.45,0,7.403,109229,5230-1089-1,421-140241,,,STAR,BV,27.950,0.870,1.840,0.600,3.210,0.800,8.988,0.021,7.662,0.012,,,,,,,,,,,,,,,,,,,,,,,,,423.129
206251288,21 59 14.083,-08 58 11.01,0,7.890,,5802-523-1,406-138867,,,STAR,BV,32.900,1.200,-28.000,1.300,,,9.723,0.035,8.200,0.015,,,,,,,,,,,,,,,,,,,,,,,,,424.703
