EPIC,RA,Dec,KepMag,HIP,TYC,UCAC,2MASS,Ch,Col,Row,Bmag,Vmag,Jmag,Hmag,Kmag,Teff,logg,[Fe/H],Radius,mass,Distance,E(B-V)
219059512,283.6969299,-17.6142559,7.834,,,362-171066,18544725-1736513,72,102,183,,,7.834,6.949,6.593,,,,,,,
217202030,287.1412659,-20.9915161,7.837,94026,6295-688-1,346-174605,19083390-2059293,45,914,707,9.268,8.063,5.972,5.408,5.238,,,,,,,
219514839,286.4104309,-16.5609818,7.837,,6283-1304-1,368-164265,19053851-1633394,52,145,60,9.096,8.027,6.164,5.648,5.509,,,,,,,
214903672,280.8081055,-25.3751602,7.839,,,,18431394-2522305,80,974,196,,,7.839,6.654,5.765,,,,,,,
219109102,287.5176392,-17.5060234,7.845,,6287-838-1,363-177003,,30,115,977,9.933,8.209,,,,,,,,,,
218761652,283.0486145,-18.2036285,7.845,,,359-172653,18521166-1812128,72,799,509,,,7.845,6.811,6.314,,,,,,,
217512738,289.5880737,-20.4442043,7.848,,6304-355-1,348-176382,19182113-2026389,26,838,450,9.501,8.121,5.943,5.384,5.183,,,,,,,
218921525,288.5922852,-17.9021397,7.848,94534,6300-371-1,361-184727,19142214-1754073,30,860,321,8.972,8.01,6.112,5.585,5.475,,,,,,,
218418249,282.1368713,-18.8383942,7.851,,,356-165242,18483283-1850182,71,504,815,,,7.851,6.753,6.222,,,,,,,
218640052,282.0075378,-18.4331608,7.852,,,358-170937,18480182-1825595,71,510,432,,,7.852,6.86,6.333,,,,,,,
216442785,281.2607422,-22.3395729,7.853,,,339-164646,18450256-2220224,81,1037,783,,,7.853,6.908,6.451,,,,,,,
218636921,282.1672668,-18.4388962,7.863,,,358-171507,18484014-1826200,71,639,480,,,7.863,6.932,6.446,,,,,,,
214365871,284.4174805,-26.6736641,7.864,,,317-214318,18574019-2640252,57,62,387,,,7.864,6.967,6.441,,,,,,,
217542006,286.5456238,-20.3930779,7.866,,,349-166753,19061094-2023350,47,1018,777,,,7.866,6.459,5.322,,,,,,,
216658009,280.067627,-21.9558086,7.869,,,341-165847,18401622-2157210,84,413,528,,,7.869,6.891,6.453,,,,,,,
