EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,SDSS,Object type,Kepflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,logg,[Fe/H],Radius,mass,rho,Distance,E(B-V),Ang Sep (')
220140244,01 16 59.006,-02 16 44.97,0,6.445,5985,4682-2121-1,439-001569,01165898-0216446,,STAR,BV,259.350,0.370,-140.210,0.340,33.470,0.400,7.079,0.015,6.532,0.010,,,,,,,,,,,5.530,0.020,5.254,0.033,5.177,0.021,,,,,,,,,484.895
220717358,00 47 01.458,+11 58 25.86,0,5.337,3675,607-1499-1,510-001169,,,STAR,BV,53.700,0.460,-35.380,0.400,11.520,0.450,6.489,0.015,5.504,0.009,,,,,,,,,,,,,,,,,,,,,,,,,485.746
220547484,01 36 43.526,+07 49 53.50,0,6.090,7505,621-853-1,490-002325,,,STAR,BV,4.850,0.540,8.830,0.340,3.540,0.490,8.000,0.017,6.416,0.010,,,,,,,,,,,,,,,,,,,,,,,,,492.247
220741957,00 51 34.888,+12 47 05.17,0,6.690,4025,611-266-1,514-001351,00513488+1247051,,STAR,BV,86.460,0.870,-22.200,0.600,10.590,0.790,7.022,0.016,6.695,0.011,,,,,,,,,,,6.022,0.019,5.909,0.026,5.868,0.018,,,,,,,,,495.242
220134955,01 16 36.289,-02 30 01.32,0,5.213,5951,4682-108-1,438-001565,,,STAR,BV,-99.430,0.280,-63.550,0.190,12.410,0.270,6.310,0.014,5.428,0.009,,,,,,,,,,,,,,,,,,,,,,,,,495.344
220129975,00 56 46.856,-02 43 47.67,0,6.988,4439,4677-121-1,437-001251,00564685-0243475,,STAR,BV,-20.190,0.470,-39.360,0.360,6.060,0.470,7.248,0.015,6.973,0.010,,,,,,,,,,,6.395,0.026,6.267,0.051,6.242,0.057,,,,,,,,,496.436
220508327,00 32 23.781,+06 57 19.66,0,5.804,2548,16-1423-1,485-000784,00322378+0657196,,STAR,BV,44.750,0.470,2.330,0.350,12.350,0.550,5.663,0.014,5.679,0.009,,,,,,,,,,,5.677,0.037,5.681,0.040,5.637,0.020,,,,,,,,,501.893
220736826,01 21 58.296,+12 36 14.99,0,6.809,6376,620-417-1,514-002103,01215829+1236149,,STAR,BV,33.880,0.560,-4.310,0.330,12.360,0.520,7.960,0.017,6.976,0.011,,,,,,,,,,,5.247,0.018,4.808,0.017,4.705,0.016,,,,,,,,,504.586
220708402,00 43 16.301,+11 42 33.08,0,7.995,,607-579-1,509-001070,00431629+1142330,,STAR,gri,-17.300,1.200,-42.400,1.100,,,9.637,0.032,8.125,0.014,,,9.632,0.030,8.286,0.040,7.294,0.060,,,5.492,0.020,4.817,0.051,4.633,0.020,,,,,,,,,506.762
220226730,01 34 48.865,+00 56 41.15,0,6.816,7357,28-1244-1,455-002111,01344887+0056406,,STAR,BV,208.930,0.630,-271.370,0.430,27.030,0.600,7.415,0.016,6.894,0.011,,,,,,,,,,,5.898,0.024,5.631,0.033,5.552,0.016,,,,,,,,,511.616
220678466,01 31 42.683,+10 53 21.89,0,6.853,7117,617-122-1,505-002371,01314267+1053219,,STAR,BV,52.970,0.500,15.360,0.320,6.950,0.470,8.036,0.017,7.027,0.011,,,,,,,,,,,5.248,0.027,,,4.587,0.016,,,,,,,,,516.822
220765772,01 06 36.522,+13 53 04.58,0,7.173,5207,618-364-1,520-001820,01063651+1353046,,STAR,BV,51.640,0.540,-39.890,0.410,16.680,0.580,7.642,0.016,7.215,0.011,,,,,,,,,,,6.368,0.020,6.234,0.024,6.185,0.016,,,,,,,,,517.669
220763102,00 57 54.511,+13 41 45.11,0,6.059,4520,611-1089-1,519-001536,,,STAR,BV,-6.590,0.390,-6.570,0.290,6.730,0.390,7.191,0.015,6.283,0.010,,,,,,,,,,,,,,,,,,,,,,,,,517.833
220297986,01 38 19.918,+02 35 09.84,0,6.630,7632,31-142-1,463-002200,,,STAR,BV,19.320,0.500,-2.420,0.390,2.210,0.530,8.360,0.019,6.919,0.011,,,9.668,0.030,,,,,,,,,,,,,,,,,,,,,518.960
220407360,00 30 08.686,+04 51 36.40,0,6.458,2358,13-1547-1,475-000744,00300867+0451366,,STAR,BV,-17.960,0.440,14.660,0.280,15.360,0.500,6.942,0.015,6.504,0.010,,,,,,,,,,,5.747,0.027,5.534,0.029,5.450,0.023,,,,,,,,,526.598
220139120,00 47 36.897,-02 19 18.71,0,6.852,3708,4673-692-1,439-001003,,,STAR,BV,10.790,0.480,5.540,0.320,1.870,0.510,8.685,0.020,7.162,0.011,,,,,,,,,,,,,,,,,,,,,,,,,526.980
220716436,00 42 08.552,+11 56 43.39,0,7.898,3308,607-1272-1,510-001070,00420855+1156433,,STAR,BV,-11.350,0.800,-9.290,0.590,4.090,0.700,9.385,0.026,8.136,0.014,,,,,,,,,,,5.903,0.027,5.317,0.057,5.175,0.026,,,,,,,,,528.329
220702210,00 39 40.705,+11 31 56.21,0,7.353,3119,606-827-1,508-001110,00394070+1131561,,STAR,BV,159.700,0.450,-12.080,0.300,20.220,0.420,7.946,0.017,7.430,0.012,,,,,,,,,,,6.432,0.023,6.192,0.031,6.158,0.021,,,,,,,,,535.264
220187006,00 38 04.542,-00 30 12.71,0,6.381,2994,4672-1254-1,448-000787,,,STAR,BV,-41.860,0.520,-10.840,0.340,4.100,0.560,7.953,0.017,6.636,0.011,,,,,,,,,,,,,,,,,,,,,,,,,535.398
220561882,01 39 21.020,+08 10 12.69,0,7.504,,,,01392101+0810126,,STAR,J,-9.900,2.900,-8.200,2.800,,,,,,,,,,,,,,,,,5.804,0.020,4.900,0.018,4.551,0.016,,,,,,,,,535.624
220762339,00 52 28.868,+13 38 55.60,0,7.441,4089,611-1149-1,519-001395,00522885+1338556,,STAR,BV,14.440,0.530,-15.710,0.420,8.580,0.590,7.441,0.017,7.355,0.012,,,,,,,,,,,7.229,0.018,7.286,0.026,7.265,0.018,,,,,,,,,537.953
220766646,00 56 09.121,+13 57 07.05,0,6.294,4382,611-949-1,520-001531,,,STAR,BV,-2.730,0.540,-3.560,0.350,7.990,0.590,7.434,0.016,6.459,0.010,,,,,,,,,,,,,,,,,,,,,,,,,538.803
